Date,Value
2009-01-02,0.0
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,0.016639
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.085231
2009-01-15,0.0
2009-01-16,0.0
2009-01-17,0.167422
2009-01-18,0.0
2009-01-19,0.0
2009-01-20,0.241267
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.310038
2009-01-24,0.0
2009-01-25,0.0
2009-01-26,0.415376
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,0.483934
2009-01-30,0.0
2009-01-31,0.0
2009-02-01,0.568769
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,0.655754
2009-02-05,0.0
2009-02-06,0.0
2009-02-07,0.734941
2009-02-08,0.0
2009-02-09,0.0
2009-02-10,0.828643
2009-02-11,0.0
2009-02-12,0.0
2009-02-13,0.910687
2009-02-14,0.0
2009-02-15,0.0
2009-02-16,0.996166
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,1.076697
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,1.156301
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,1.230171
2009-02-26,0.0
2009-02-27,0.0
2009-02-28,1.304902
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,1.373129
2009-03-04,0.0
2009-03-05,0.0
2009-03-06,1.447383
2009-03-07,0.0
2009-03-08,0.0
2009-03-09,1.5242
2009-03-10,0.0
2009-03-11,0.0
2009-03-12,1.595217
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,1.670779
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,1.753607
2009-03-19,0.0
2009-03-20,0.0
2009-03-21,1.833121
2009-03-22,0.0
2009-03-23,0.0
2009-03-24,1.899013
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,1.97544
2009-03-28,0.0
2009-03-29,0.0
2009-03-30,2.051495
2009-03-31,0.0
2009-04-01,0.0
2009-04-02,2.129452
2009-04-03,0.0
2009-04-04,0.0
2009-04-05,2.203708
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,2.278951
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,2.346311
2009-04-12,0.0
2009-04-13,0.0
2009-04-14,2.424693
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,2.502404
2009-04-18,0.0
2009-04-19,0.0
2009-04-20,2.581214
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,2.673045
2009-04-24,0.0
2009-04-25,0.0
2009-04-26,2.739522
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,2.813194
2009-04-30,0.0
2009-05-01,0.0
2009-05-02,2.897569
2009-05-03,0.0
2009-05-04,0.0
2009-05-05,2.981532
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,3.067371
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,3.125624
2009-05-12,0.0
2009-05-13,0.0
2009-05-14,3.205018
2009-05-15,0.0
2009-05-16,0.0
2009-05-17,3.291993
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,3.363465
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,3.420452
2009-05-24,0.0
2009-05-25,0.0
2009-05-26,3.472275
2009-05-27,0.0
2009-05-28,0.0
2009-05-29,3.545444
2009-05-30,0.0
2009-05-31,0.0
2009-06-01,3.619678
2009-06-02,0.0
