Date,Value
2009-01-02,0.0
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,24.0
2009-01-12,10.0
2009-01-13,0.0
2009-01-14,414.0
2009-01-15,100.0
2009-01-16,100.0
2009-01-17,0.0
2009-01-18,150.0
2009-01-19,775.0
2009-01-20,500.0
2009-01-21,500.0
2009-01-22,150.0
2009-01-23,800.0
2009-01-24,50.0
2009-01-25,0.0
2009-01-26,1150.0
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,600.0
2009-01-30,0.0
2009-01-31,1100.0
2009-02-01,0.0
2009-02-02,115.0
2009-02-03,38.0
2009-02-04,0.0
2009-02-05,0.0
2009-02-06,1150.0
2009-02-07,1000.0
2009-02-08,2200.0
2009-02-09,0.0
2009-02-10,350.0
2009-02-11,200.0
2009-02-12,0.0
2009-02-13,0.0
2009-02-14,900.0
2009-02-15,0.0
2009-02-16,1500.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,800.0
2009-02-20,0.0
2009-02-21,1050.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,1800.0
2009-02-28,350.0
2009-03-01,0.0
2009-03-02,400.0
2009-03-03,0.0
2009-03-04,1200.0
2009-03-05,400.0
2009-03-06,0.0
2009-03-07,1550.0
2009-03-08,0.0
2009-03-09,0.0
2009-03-10,0.0
2009-03-11,150.0
2009-03-12,750.0
2009-03-13,0.0
2009-03-14,0.0
2009-03-15,2400.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,700.0
2009-03-19,600.0
2009-03-20,0.0
2009-03-21,550.0
2009-03-22,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,1400.0
2009-03-26,0.0
2009-03-27,1000.0
2009-03-28,0.0
2009-03-29,0.0
2009-03-30,1600.0
2009-03-31,0.0
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-04,0.0
2009-04-05,850.0
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,350.0
2009-04-11,0.0
2009-04-12,960.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,115.0
2009-04-18,450.0
2009-04-19,2250.0
2009-04-20,3500.0
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-25,750.0
2009-04-26,0.0
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,1000.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-02,699.0
2009-05-03,50.0
2009-05-04,1500.0
2009-05-05,500.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-09,0.0
2009-05-10,50.0
2009-05-11,0.0
2009-05-12,51.0
2009-05-13,101.0
2009-05-14,50.0
2009-05-15,500.0
2009-05-16,0.0
2009-05-17,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,0.0
2009-05-24,0.0
2009-05-25,0.0
2009-05-26,0.0
2009-05-27,0.0
2009-05-28,3000.0
2009-05-29,0.0
2009-05-30,0.0
2009-05-31,0.0
2009-06-01,0.0
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,0.0
2009-06-05,0.0
