Date,Value
2009-01-02,1.0
2009-01-03,1.0
2009-01-04,1.0
2009-01-05,1.0
2009-01-06,1.0
2009-01-07,1.0
2009-01-08,15.0
2009-01-09,46.0
2009-01-10,152.0
2009-01-11,77.0
2009-01-12,363.0
2009-01-13,489.0
2009-01-14,394.0
2009-01-15,742.0
2009-01-16,851.0
2009-01-17,768.0
2009-01-18,1072.0
2009-01-19,1190.0
2009-01-20,1102.0
2009-01-21,1381.0
2009-01-22,1449.0
2009-01-23,1412.0
2009-01-24,1845.0
2009-01-25,1961.0
2009-01-26,1892.0
2009-01-27,2169.0
2009-01-28,2291.0
2009-01-29,2199.0
2009-01-30,2542.0
2009-01-31,2660.0
2009-02-01,2577.0
2009-02-02,2937.0
2009-02-03,3063.0
2009-02-04,2975.0
2009-02-05,3313.0
2009-02-06,3443.0
2009-02-07,3342.0
2009-02-08,3707.0
2009-02-09,3834.0
2009-02-10,3743.0
2009-02-11,4085.0
2009-02-12,4209.0
2009-02-13,4117.0
2009-02-14,4475.0
2009-02-15,4598.0
2009-02-16,4508.0
2009-02-17,4841.0
2009-02-18,4958.0
2009-02-19,4866.0
2009-02-20,5197.0
2009-02-21,5322.0
2009-02-22,5227.0
2009-02-23,5540.0
2009-02-24,5647.0
2009-02-25,5566.0
2009-02-26,5866.0
2009-02-27,5969.0
2009-02-28,5894.0
2009-03-01,6180.0
2009-03-02,6288.0
2009-03-03,6207.0
2009-03-04,6502.0
2009-03-05,6621.0
2009-03-06,6533.0
2009-03-07,6847.0
2009-03-08,6960.0
2009-03-09,6877.0
2009-03-10,7173.0
2009-03-11,7292.0
2009-03-12,7206.0
2009-03-13,7523.0
2009-03-14,7634.0
2009-03-15,7549.0
2009-03-16,7880.0
2009-03-17,7990.0
2009-03-18,7908.0
2009-03-19,8233.0
2009-03-20,8310.0
2009-03-21,8265.0
2009-03-22,8539.0
2009-03-23,8644.0
2009-03-24,8566.0
2009-03-25,8874.0
2009-03-26,8984.0
2009-03-27,8906.0
2009-03-28,9218.0
2009-03-29,9343.0
2009-03-30,9250.0
2009-03-31,9564.0
2009-04-01,9684.0
2009-04-02,9595.0
2009-04-03,9910.0
2009-04-04,10039.0
2009-04-05,9939.0
2009-04-06,10255.0
2009-04-07,10359.0
2009-04-08,10280.0
2009-04-09,10561.0
2009-04-10,10684.0
2009-04-11,10592.0
2009-04-12,10917.0
2009-04-13,11044.0
2009-04-14,10949.0
2009-04-15,11279.0
2009-04-16,11394.0
2009-04-17,11309.0
2009-04-18,11640.0
2009-04-19,11758.0
2009-04-20,11671.0
2009-04-21,12004.0
2009-04-22,12084.0
2009-04-23,12037.0
2009-04-24,12319.0
2009-04-25,12430.0
2009-04-26,12345.0
2009-04-27,12652.0
2009-04-28,12775.0
2009-04-29,12680.0
2009-04-30,13031.0
2009-05-01,13155.0
2009-05-02,13061.0
2009-05-03,13395.0
2009-05-04,13528.0
2009-05-05,13427.0
2009-05-06,13787.0
2009-05-07,13909.0
2009-05-08,13820.0
2009-05-09,14062.0
2009-05-10,14182.0
2009-05-11,14090.0
2009-05-12,14426.0
2009-05-13,14563.0
2009-05-14,14457.0
2009-05-15,14823.0
2009-05-16,14948.0
2009-05-17,14855.0
2009-05-18,15172.0
2009-05-19,15276.0
2009-05-20,15186.0
2009-05-21,15448.0
2009-05-22,15455.0
2009-05-23,15450.0
2009-05-24,15663.0
2009-05-25,15776.0
2009-05-26,15690.0
2009-05-27,16004.0
2009-05-28,16112.0
2009-05-29,16029.0
2009-05-30,16333.0
2009-05-31,16407.0
2009-06-01,16342.0
2009-06-02,16594.0
2009-06-03,16633.0
2009-06-04,16596.0
2009-06-05,16714.0
2009-06-06,16718.0
2009-06-07,16719.0
2009-06-08,16884.0
2009-06-09,16967.0
2009-06-10,16908.0
2009-06-11,17151.0
2009-06-12,17225.0
2009-06-13,17165.0
2009-06-14,17377.0
2009-06-15,17450.0
2009-06-16,17399.0
2009-06-17,17608.0
2009-06-18,17695.0
2009-06-19,17629.0
2009-06-20,17854.0
2009-06-21,17935.0
2009-06-22,17875.0
2009-06-23,18098.0
2009-06-24,18172.0
2009-06-25,18125.0
2009-06-26,18347.0
2009-06-27,18399.0
2009-06-28,18368.0
2009-06-29,18564.0
2009-06-30,18648.0
2009-07-01,18585.0
2009-07-02,18804.0
2009-07-03,18893.0
2009-07-04,18826.0
2009-07-05,19064.0
2009-07-06,19127.0
2009-07-07,19078.0
2009-07-08,19287.0
2009-07-09,19369.0
2009-07-10,19307.0
2009-07-11,19529.0
2009-07-12,19605.0
2009-07-13,19548.0
2009-07-14,19723.0
2009-07-15,19792.0
2009-07-16,19740.0
2009-07-17,19860.0
2009-07-18,19912.0
2009-07-19,19863.0
2009-07-20,20062.0
2009-07-21,20131.0
2009-07-22,20085.0
2009-07-23,20272.0
2009-07-24,20325.0
2009-07-25,20294.0
2009-07-26,20402.0
2009-07-27,20446.0
2009-07-28,20421.0
2009-07-29,20494.0
2009-07-30,20506.0
2009-07-31,20498.0
2009-08-01,20559.0
2009-08-02,20574.0
2009-08-03,20566.0
2009-08-04,20723.0
2009-08-05,20819.0
2009-08-06,20746.0
2009-08-07,20976.0
2009-08-08,21074.0
2009-08-09,20997.0
2009-08-10,21223.0
2009-08-11,21291.0
2009-08-12,21243.0
2009-08-13,21437.0
2009-08-14,21471.0
2009-08-15,21454.0
2009-08-16,21513.0
2009-08-17,21522.0
2009-08-18,21517.0
2009-08-19,21561.0
2009-08-20,21577.0
2009-08-21,21567.0
2009-08-22,21597.0
2009-08-23,21605.0
2009-08-24,21602.0
2009-08-25,21702.0
2009-08-26,21735.0
2009-08-27,21718.0
2009-08-28,21882.0
2009-08-29,21973.0
2009-08-30,21900.0
2009-08-31,22147.0
2009-09-01,22215.0
2009-09-02,22164.0
2009-09-03,22339.0
2009-09-04,22410.0
2009-09-05,22355.0
2009-09-06,22561.0
2009-09-07,22627.0
2009-09-08,22578.0
2009-09-09,22746.0
2009-09-10,22814.0
2009-09-11,22768.0
