TableName,FullName,Description,NewestAvailableDate,OldestAvailableDate
ATRCT,Bitcoin Median Transaction Confirmation Time in Minutes,The median time for a transaction to be accepted into a mined block and added to the public ledger (note: only includes transactions with miner fees).,2022-12-13,2009-01-03
AVBLS,Bitcoin Average Block Size,The average block size in MB.,2022-12-13,2009-01-02
BLCHS,Bitcoin api.blockchain Size,The total size of all block headers and transactions. Not including database indexes.,2022-12-13,2009-01-02
CPTRA,Bitcoin Cost Per Transaction,A chart showing miners revenue divided by the number of transactions.,2022-12-13,2009-01-02
CPTRV,Bitcoin Cost % of Transaction Volume,A chart showing miners revenue as percentage of the transaction volume.,2022-12-13,2009-01-02
DIFF,Bitcoin Difficulty,A relative measure of how difficult it is to find a new block. The difficulty is adjusted periodically as a function of how much hashing power has been deployed by the network of miners.,2022-12-13,2009-01-02
ETRAV,Bitcoin Estimated Transaction Volume,The total estimated value of transactions on the Bitcoin blockchain (does not include coins returned to sender as change).,2022-12-13,2009-01-02
ETRVU,Bitcoin Estimated Transaction Volume USD,The Estimated Transaction Value in USD value.,2022-12-13,2009-01-02
HRATE,Bitcoin Hash Rate,The estimated number of tera hashes per second (trillions of hashes per second) the Bitcoin network is performing.,2022-12-13,2009-01-03
MIREV,Bitcoin Miners Revenue,Total value of coinbase block rewards and transaction fees paid to miners.,2022-12-13,2009-01-02
MKPRU,Bitcoin Market Price USD,Average USD market price across major bitcoin exchanges.,2022-12-14,2009-01-02
MKTCP,Bitcoin Market Capitalization,"The total USD value of bitcoin supply in circulation, as calculated by the daily average market price across major exchanges.",2022-12-13,2009-01-02
NADDU,Bitcoin Number of Unique Bitcoin Addresses Used,The total number of unique addresses used on the Bitcoin blockchain.,2022-12-13,2009-01-02
NTRAN,Bitcoin Number of Transactions,The number of daily confirmed Bitcoin transactions.,2022-12-13,2009-01-02
NTRAT,Bitcoin Total Number of Transactions,Total Number of transactions,2022-12-13,2009-01-02
NTRBL,Bitcoin Number of Transaction per Block,The average number of transactions per block.,2022-12-13,2009-01-02
NTREP,Bitcoin Number of Transactions Excluding Popular Addresses,"The total number of Bitcoin transactions, excluding those involving any of the network&#39;s 100 most popular addresses.",2022-12-13,2009-01-02
TOTBC,Total Bitcoins,"The total number of bitcoins that have already been mined; in other words, the current supply of bitcoins on the network.",2022-12-13,2009-01-02
TOUTV,Bitcoin Total Output Volume,The total value of all transaction outputs per day (includes coins returned to the sender as change).,2022-12-13,2009-01-02
TRFEE,Bitcoin Total Transaction Fees,The total value of all transaction fees paid to miners (not including the coinbase value of block rewards).,2022-12-13,2009-01-02
TRFUS,Bitcoin Total Transaction Fees USD,The total value of all transaction fees paid to miners (not including the coinbase value of block rewards).,2022-12-13,2009-01-02
TRVOU,Bitcoin USD Exchange Trade Volume,The total USD value of trading volume on major bitcoin exchanges.,2022-12-14,2009-01-02
